customer_ID;shopping_pt;record_type;day;time;state;location;group_size;homeowner;car_age;car_value;risk_factor;age_oldest;age_youngest;married_couple;C_previous;duration_previous;A;B;C;D;E;F;G;cost
10000042;1;0;0;11:08;FL;10044;3;0;9;e;3;65;17;1;3;15;1;1;3;3;1;1;4;693
10000042;2;0;0;11:09;FL;10044;3;0;9;e;3;65;17;1;3;15;1;1;3;3;1;1;3;701
10000042;3;0;0;11:10;FL;10044;3;0;9;e;3;65;17;1;3;15;1;1;3;3;1;1;3;701
10000042;4;1;0;11:14;FL;10044;3;0;9;e;3;65;17;1;3;15;1;1;3;3;1;1;3;701
10000076;1;0;0;14:40;CT;10076;1;0;14;f;NA;69;27;0;3;0;0;0;1;1;0;0;2;627
10000076;2;0;0;14:41;CT;10076;1;0;14;f;NA;69;27;0;3;0;1;0;3;3;1;0;1;713
10000076;3;0;0;14:43;CT;10076;1;0;14;f;NA;69;27;0;3;0;1;0;1;1;1;0;1;702
10000076;4;0;0;14:44;CT;10076;1;0;14;f;NA;69;27;0;3;0;2;0;1;1;1;0;1;691
10000076;5;0;0;15:29;CT;10076;1;0;14;f;NA;69;27;0;3;0;2;0;1;1;1;0;1;691
10000076;6;0;0;15:31;CT;10076;1;0;14;f;NA;69;27;0;3;0;2;0;1;1;1;0;1;691
10000076;7;0;0;15:32;CT;10076;1;0;14;f;NA;69;27;0;3;0;2;0;1;1;1;0;2;767
10000294;1;0;3;15:43;FL;10290;3;0;12;f;3;62;20;1;4;7;1;1;3;3;1;2;4;669
10000294;2;0;3;15:43;FL;10290;3;0;12;f;3;62;20;1;4;7;1;1;3;3;1;2;3;668
10000294;3;0;3;15:44;FL;10290;3;0;12;f;3;62;20;1;4;7;1;1;3;3;1;2;3;668
10000294;4;0;3;15:46;FL;10290;3;0;12;f;3;62;20;1;4;7;1;1;3;3;1;2;3;668
10000294;5;0;3;16:09;FL;10290;3;0;12;f;3;62;20;1;4;7;1;1;3;3;1;2;3;668
10000294;6;0;3;16:10;FL;10290;3;0;12;f;3;62;20;1;4;7;1;1;3;3;1;2;3;668
10000294;7;0;3;16:11;FL;10290;3;0;12;f;3;62;20;1;4;7;1;1;3;3;1;2;3;668
10000294;8;0;3;16:12;FL;10290;3;0;12;f;3;62;20;1;4;7;1;1;3;3;1;2;3;673
10000294;9;0;3;16:17;FL;10290;3;0;12;f;3;62;20;1;4;7;1;1;3;3;1;2;3;669
10000294;10;1;2;14:12;FL;10290;4;0;12;f;3;62;18;1;4;7;1;1;2;3;1;2;3;670
10001003;1;0;0;11:11;FL;10902;2;1;5;e;2;71;18;0;2;5;0;0;2;1;0;0;2;626
10001003;2;0;0;11:12;FL;10902;2;1;5;e;2;71;18;0;2;5;0;0;2;1;0;0;3;594
10001003;3;0;0;11:13;FL;10902;2;1;5;e;2;71;18;0;2;5;1;0;1;2;1;2;3;679
10001003;4;0;0;11:13;FL;10902;2;1;5;e;2;71;18;0;2;5;1;0;1;2;1;2;3;673
10001003;5;0;0;11:19;FL;10902;2;0;5;e;2;71;18;0;2;5;1;0;1;2;1;2;3;677
10001003;6;0;0;11:20;FL;10902;2;0;5;e;2;71;18;0;2;5;1;0;1;2;1;2;3;677
10001003;7;0;0;11:22;FL;10902;2;0;5;e;2;71;18;0;2;5;1;0;1;2;1;2;3;677
10001003;8;1;0;16:02;FL;10902;2;0;5;e;2;71;18;0;2;5;1;0;1;2;1;2;3;685
10001353;1;0;2;11:37;CO;10800;2;0;14;f;3;48;20;0;4;3;0;0;3;3;0;0;2;683
10001353;2;0;2;11:38;CO;10800;2;0;14;f;3;48;20;0;4;3;0;0;3;3;0;0;2;687
10001353;3;0;2;11:43;CO;10800;2;0;14;f;3;48;20;0;4;3;0;0;3;3;0;0;2;691
10001353;4;0;2;11:43;CO;10800;2;0;14;f;3;48;20;0;4;3;0;0;3;3;0;0;2;683
10001353;5;0;2;11:44;CO;10800;2;0;14;f;3;48;20;0;4;3;0;0;3;3;0;0;2;658
10001353;6;0;2;11:46;CO;10800;2;0;14;f;3;48;20;0;4;3;0;0;3;3;0;0;2;658
10001353;7;0;2;11:47;CO;10800;2;0;14;f;3;48;20;0;4;3;0;0;3;3;0;0;2;658
10001353;8;0;2;11:53;CO;10800;2;0;14;f;3;48;20;0;4;3;0;0;3;3;0;0;2;658
10001353;9;0;2;11:54;CO;10800;1;0;14;f;3;48;20;0;4;3;0;0;3;3;0;0;2;636
10001353;10;1;0;12:31;CO;10800;1;0;14;f;3;48;20;0;4;3;0;0;1;3;0;0;2;613
10001380;4;0;2;09:43;FL;11183;3;1;10;e;1;45;16;1;3;15;0;0;3;3;0;0;4;626
10001380;5;0;2;09:48;FL;11183;3;1;10;e;1;45;16;1;3;15;0;0;3;3;0;0;4;626
10001380;8;0;2;09:54;FL;11183;3;1;10;e;1;45;16;1;3;15;0;0;3;3;0;0;4;634
10001380;9;1;1;08:58;FL;11183;3;1;10;e;1;45;16;1;3;15;0;0;3;3;0;0;4;625
10001529;1;0;2;14:16;AL;11288;3;1;9;f;4;53;26;1;3;4;1;1;3;3;1;1;2;637
10001529;2;0;2;14:17;AL;11288;3;1;9;f;4;53;26;1;3;4;1;1;3;3;0;1;2;641
10001529;3;0;2;14:19;AL;11288;3;1;9;f;4;53;26;1;3;4;1;1;3;3;0;1;2;646
10001529;4;0;2;14:20;AL;11288;3;1;9;f;4;53;26;1;3;4;1;1;3;3;0;1;2;646
10001529;5;0;2;14:21;AL;11288;3;1;9;f;4;53;26;1;3;4;1;1;3;3;0;1;2;646
10001529;6;1;3;10:29;AL;11288;3;1;9;f;4;53;26;1;3;4;1;1;3;3;0;1;2;646
10001562;9;1;4;11:55;CO;11310;1;1;8;d;NA;47;16;0;1;5;1;1;1;2;1;1;1;626
10001873;1;0;1;12:58;CO;11520;2;1;8;f;NA;57;22;0;NA;NA;1;0;3;3;0;2;1;606
10001873;2;0;1;12:59;CO;11520;2;1;8;f;NA;57;22;0;NA;NA;1;1;3;3;1;1;3;624
10001873;3;1;0;14:32;CO;11520;2;1;8;f;3;57;22;0;4;1;1;0;3;3;0;1;1;608
10002150;9;1;3;17:32;FL;11416;2;0;1;e;2;50;18;1;3;1;2;0;3;2;0;3;4;730
10002184;1;0;3;16:26;AL;11694;2;1;1;f;4;46;17;0;3;7;0;0;3;3;0;0;4;626
10002184;2;0;3;16:26;AL;11694;2;1;1;f;4;46;17;0;3;7;1;1;3;3;1;1;2;703
10002184;3;0;3;16:28;AL;11694;2;1;1;f;4;46;17;0;3;7;2;0;3;3;0;3;2;676
10002184;4;0;3;16:29;AL;11694;2;1;1;f;4;46;17;0;3;7;2;0;3;3;0;3;2;676
10002184;5;0;3;16:29;AL;11694;2;1;1;f;4;46;17;0;3;7;2;0;3;3;0;3;2;678
10002184;6;1;3;16:53;AL;11694;2;1;1;f;4;46;17;0;3;7;2;0;3;3;0;3;2;671
10002412;1;0;1;12:25;AL;11694;2;1;22;c;4;49;19;0;3;3;0;1;3;3;0;0;2;608
10002412;2;0;1;12:26;AL;11694;2;1;22;c;4;49;19;0;3;3;0;1;3;3;0;0;2;615
10002412;3;0;1;12:30;AL;11694;2;1;22;c;4;49;19;0;3;3;0;1;3;3;0;0;2;615
10002412;4;0;1;12:32;AL;11694;2;1;22;c;4;49;19;0;3;3;0;1;3;3;0;0;2;615
10002412;5;0;1;12:36;AL;11694;2;1;22;c;4;49;19;0;3;3;0;1;3;3;0;0;1;613
10002412;6;0;1;12:41;AL;11694;2;1;22;c;4;49;19;0;3;3;0;1;1;2;0;0;2;604
10002412;7;1;1;12:58;AL;11694;2;1;22;c;4;49;19;0;3;3;0;1;1;2;0;0;2;604
10002564;1;0;0;12:13;AR;10070;2;1;6;e;NA;49;24;0;2;8;1;0;1;1;0;2;1;630
10002564;2;0;0;12:27;AR;10070;2;1;6;e;NA;49;24;0;2;8;1;0;1;1;0;2;1;630
10002564;3;0;0;12:31;AR;10070;2;1;6;e;NA;49;24;0;2;8;2;1;2;2;1;3;1;633
10002564;4;0;0;12:32;AR;10070;2;1;6;e;NA;49;24;0;2;8;2;1;2;2;1;3;1;633
10002564;5;0;0;12:34;AR;10070;2;1;6;e;NA;49;24;0;2;8;2;1;2;2;1;3;1;639
10002564;6;0;0;16:25;AR;10070;2;1;6;e;NA;49;24;0;2;8;2;1;2;2;1;3;1;640
10002564;7;0;0;17:10;AR;10070;2;1;6;e;NA;49;24;0;2;8;2;1;2;2;1;3;1;648
10002564;8;1;1;11:37;AR;10070;2;1;6;e;NA;49;24;0;2;8;2;1;2;2;1;3;1;648
10003157;1;0;3;11:11;AL;12168;3;0;0;e;NA;59;24;1;3;8;1;0;3;3;0;2;1;653
10003157;2;0;3;11:12;AL;12168;3;0;0;e;NA;59;24;1;3;8;1;0;2;3;0;2;1;651
